budget,context,cost_form,Q,Q0
1e+22,8192,exponential,0.9881371690472297,0.6219326581278445
1.0000000000000001e+23,8192,power,1.0,0.6219326581278445
1e+21,4096,exponential,0.7722321428088601,0.6219326581278445
3e+19,32768,power,0.6219326581278446,0.6219326581278445
1e+20,131072,log_asymptotic,1.0,0.6219326581278445
1e+20,4096,exponential,0.6219326581278445,0.6219326581278445
1e+19,131072,log_asymptotic,0.6219326581278445,0.6219326581278445
3e+23,32768,power,1.0,0.6219326581278445
1e+24,131072,power,1.0,0.6219326581278445
1.0000000000000001e+23,32768,exponential,1.0,0.6219326581278445
3e+21,131072,exponential,0.9588953761186905,0.6219326581278445
3e+21,8192,log_asymptotic,0.9999999999999999,0.6219326581278445
3e+19,8192,exponential,0.6219326581278447,0.6219326581278445
1e+21,131072,exponential,0.8623675063077516,0.6219326581278445
1e+24,32768,exponential,1.0,0.6219326581278445
1e+20,2048,power,0.6219326581278445,0.6219326581278445
3e+23,2048,power,0.9999999999999997,0.6219326581278445
1e+21,4096,power,0.6824896517461835,0.6219326581278445
3e+20,131072,log_asymptotic,1.0,0.6219326581278445
1e+19,2048,log_asymptotic,0.6219326581278445,0.6219326581278445
3e+23,4096,power,0.9999999999999997,0.6219326581278445
3e+23,131072,power,0.9999999999999998,0.6219326581278445
1.0000000000000001e+23,8192,log_asymptotic,1.0,0.6219326581278445
1e+21,8192,exponential,0.7789435427569665,0.6219326581278445
3e+22,4096,power,1.0,0.6219326581278445
3e+20,4096,exponential,0.6557648874887345,0.6219326581278445
1e+20,131072,exponential,0.6560545967473406,0.6219326581278445
1e+24,8192,power,0.9999999999999996,0.6219326581278445
1e+20,2048,log_asymptotic,0.6219326581278445,0.6219326581278445
1e+22,8192,power,0.9999999999999996,0.6219326581278445
1e+20,8192,power,0.6219326581278448,0.6219326581278445
1.0000000000000001e+23,4096,exponential,0.9999999999999991,0.6219326581278445
3e+22,2048,log_asymptotic,1.0,0.6219326581278445
3e+21,8192,power,0.8577798541216379,0.6219326581278445
3e+19,2048,exponential,0.6219326581278454,0.6219326581278445
3e+19,4096,exponential,0.6219326581278456,0.6219326581278445
1e+21,2048,power,0.676494639885722,0.6219326581278445
1.0000000000000001e+23,32768,power,1.0,0.6219326581278445
3e+20,8192,power,0.6219326581278446,0.6219326581278445
3e+19,32768,exponential,0.6219326581278445,0.6219326581278445
3e+20,4096,power,0.6219326581278446,0.6219326581278445
1e+19,4096,log_asymptotic,0.6219326581278445,0.6219326581278445
1e+24,8192,exponential,0.9999999999999998,0.6219326581278445
1e+22,4096,exponential,0.9820815203786968,0.6219326581278445
1e+19,131072,power,0.6219326581278455,0.6219326581278445
1e+21,2048,exponential,0.7685539942696125,0.6219326581278445
3e+20,2048,power,0.6219326581278445,0.6219326581278445
3e+19,4096,power,0.6219326581278445,0.6219326581278445
3e+23,2048,log_asymptotic,0.9999999999999993,0.6219326581278445
1.0000000000000001e+23,4096,power,0.9999999999999994,0.6219326581278445
3e+21,8192,exponential,0.8790902936805736,0.6219326581278445
3e+22,2048,exponential,1.0,0.6219326581278445
1e+20,4096,log_asymptotic,0.6219326581278445,0.6219326581278445
3e+22,32768,power,1.0,0.6219326581278445
