group_id,coverage_state,publication_blocked,candidate_id,includes_baseline,maximum_regret_loss,maximum_relative_regret,minimax_loss_candidate,minimax_relative_candidate,analysis_purpose,source_version,state,expected_scenario_modes,available_scenario_modes,unique_candidates,common_feasible_candidates,rejected_candidates,baseline_in_common_set,publication_blocked_coverage,minimax_scope,analysis_purpose_coverage,source_version_coverage,budget,context,form,Q0,anchor_count,anchor_sha256,normalize_cost_endpoint,quality_cost_scale,eta_attention,search_protocol.starts,search_protocol.maxiter,search_protocol.seed,search_protocol.solver,search_protocol.max_model_evaluations_per_start
fb8c00c5e07efb77526d,computed_finite_candidate_set,False,1d68cf3d8dfcde1d5a72,False,3.5283775901007175e-11,1.4401309578077781e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
fb8c00c5e07efb77526d,computed_finite_candidate_set,False,a926ee6d82bd0f127da7,False,7.5401462851232282e-11,3.0775612343959227e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
fb8c00c5e07efb77526d,computed_finite_candidate_set,False,2c7a3d3731ecb828066e,False,3.134692505568637e-11,1.2794457523885822e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
fb8c00c5e07efb77526d,computed_finite_candidate_set,False,626c3d9d71d84ec9a6bb,False,0,0,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,power,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
851b55da09598357f8f5,computed_finite_candidate_set,False,d60005e77c8df3b79413,False,6.3570926300826613e-11,2.5946899572302525e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
851b55da09598357f8f5,computed_finite_candidate_set,False,633a22092cfd804255ae,False,2.6464741509357737e-10,1.0801761593040092e-10,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
851b55da09598357f8f5,computed_finite_candidate_set,False,77f9f454dbe13e936aaa,False,5.6652904589782338e-11,2.3123262651769871e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
851b55da09598357f8f5,computed_finite_candidate_set,False,a7d383b2350322fe403b,False,1.1644019082268642e-12,4.7525844175353804e-13,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
851b55da09598357f8f5,computed_finite_candidate_set,False,eefd6593c39d5aacad9f,False,1.148903194803097e-10,4.6893253800937386e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
851b55da09598357f8f5,computed_finite_candidate_set,False,481a57705c3fce2b68d0,False,2.4200152992648327e-10,9.8774546144443661e-11,True,True,formal-analysis,V005,computed_finite_candidate_set,24,24,14,14,0,True,False,finite found common-feasible candidate set only; not a continuous/global robust optimum,formal-analysis,V005,1e+19,4096,log_asymptotic,0.62193265812784448,24,648d3c2dd4cd6cf5e8aa19afb3367c829892735767c0b54df5e97f9761f30fc3,False,1,0.00020000000000000001,3,450,20260924,SLSQP,
